"","weather","risk","treatment","outcome"
"7123","wet","low","untreated","not-burned"
"7124","normal","low","untreated","not-burned"
"7125","wet","low","untreated","not-burned"
"7126","normal","low","untreated","not-burned"
"7127","dry","low","untreated","burned"
"7128","wet","low","untreated","not-burned"
"7129","dry","low","treated","not-burned"
"7130","dry","low","untreated","not-burned"
"7131","wet","low","treated","not-burned"
"7132","wet","low","untreated","not-burned"
"7133","wet","high","treated","not-burned"
"7134","dry","high","treated","burned"
"7135","wet","low","treated","not-burned"
"7136","dry","high","treated","not-burned"
"7137","wet","low","treated","not-burned"
"7138","wet","low","untreated","not-burned"
"7139","wet","low","treated","not-burned"
"7140","dry","high","treated","not-burned"
"7141","dry","high","treated","not-burned"
"7142","normal","low","treated","not-burned"
"7143","normal","low","untreated","not-burned"
"7144","normal","low","untreated","not-burned"
"7145","wet","low","untreated","not-burned"
"7146","wet","low","untreated","not-burned"
"7147","normal","high","treated","not-burned"
"7148","wet","high","treated","not-burned"
"7149","normal","low","untreated","not-burned"
"7150","dry","low","untreated","burned"
"7151","normal","low","untreated","not-burned"
"7152","normal","high","treated","not-burned"
"7153","normal","high","treated","not-burned"
"7154","normal","low","treated","not-burned"
"7155","wet","low","treated","not-burned"
"7156","normal","low","untreated","not-burned"
"7157","normal","low","untreated","not-burned"
"7158","wet","low","untreated","not-burned"
"7159","normal","low","treated","not-burned"
"7160","normal","low","treated","not-burned"
"7161","wet","low","treated","not-burned"
"7162","dry","high","treated","burned"
"7163","normal","low","untreated","not-burned"
"7164","normal","high","treated","not-burned"
"7165","wet","low","untreated","not-burned"
"7166","dry","high","untreated","not-burned"
"7167","dry","high","treated","not-burned"
"7168","wet","low","untreated","not-burned"
"7169","normal","low","untreated","not-burned"
"7170","dry","low","untreated","burned"
"7171","dry","low","untreated","not-burned"
"7172","dry","low","untreated","not-burned"
"7173","wet","low","untreated","not-burned"
"7174","normal","low","untreated","not-burned"
"7175","normal","low","untreated","not-burned"
"7176","wet","low","untreated","not-burned"
"7177","normal","low","untreated","not-burned"
"7178","normal","low","untreated","not-burned"
"7179","wet","low","untreated","not-burned"
"7180","normal","low","untreated","not-burned"
"7181","normal","low","treated","not-burned"
"7182","wet","low","untreated","not-burned"
"7183","dry","low","untreated","burned"
"7184","normal","low","untreated","not-burned"
"7185","wet","low","untreated","not-burned"
"7186","dry","low","treated","not-burned"
"7187","normal","low","treated","not-burned"
"7188","wet","low","untreated","not-burned"
"7189","normal","low","treated","not-burned"
"7190","wet","low","untreated","not-burned"
"7191","normal","high","treated","not-burned"
"7192","normal","low","untreated","not-burned"
"7193","wet","low","untreated","not-burned"
"7194","normal","high","treated","not-burned"
"7195","wet","high","treated","not-burned"
"7196","normal","high","untreated","not-burned"
"7197","normal","low","untreated","not-burned"
"7198","wet","low","treated","not-burned"
"7199","wet","low","untreated","not-burned"
"7200","wet","low","treated","not-burned"
"7201","wet","low","untreated","not-burned"
"7202","normal","high","treated","not-burned"
"7203","normal","high","treated","not-burned"
"7204","wet","low","untreated","not-burned"
"7205","normal","low","untreated","not-burned"
"7206","dry","high","untreated","not-burned"
"7207","wet","low","untreated","not-burned"
"7208","wet","low","untreated","not-burned"
"7209","dry","low","untreated","burned"
"7210","wet","low","untreated","not-burned"
"7211","normal","high","treated","not-burned"
"7212","wet","low","untreated","not-burned"
"7213","normal","low","treated","not-burned"
"7214","dry","low","treated","not-burned"
"7215","normal","low","treated","not-burned"
"7216","normal","low","treated","not-burned"
"7217","dry","high","treated","not-burned"
"7218","normal","low","treated","not-burned"
"7219","normal","low","untreated","not-burned"
"7220","wet","low","untreated","not-burned"
"7221","wet","low","treated","not-burned"
"7222","normal","low","untreated","not-burned"
"7223","normal","low","untreated","not-burned"
"7224","normal","low","untreated","not-burned"
"7225","dry","low","untreated","not-burned"
"7226","normal","high","treated","not-burned"
"7227","normal","low","treated","not-burned"
"7228","normal","low","untreated","not-burned"
"7229","wet","low","untreated","not-burned"
"7230","normal","high","treated","not-burned"
"7231","wet","low","untreated","not-burned"
"7232","normal","low","untreated","not-burned"
"7233","dry","high","treated","not-burned"
"7234","normal","high","treated","not-burned"
"7235","normal","low","untreated","not-burned"
"7236","wet","high","treated","not-burned"
"7237","wet","low","untreated","not-burned"
"7238","wet","low","untreated","not-burned"
"7239","dry","low","untreated","not-burned"
"7240","normal","low","untreated","not-burned"
"7241","dry","low","treated","not-burned"
"7242","wet","high","treated","not-burned"
"7243","dry","low","untreated","burned"
"7244","normal","high","treated","not-burned"
"7245","normal","low","untreated","not-burned"
"7246","normal","low","untreated","not-burned"
"7247","normal","high","treated","not-burned"
"7248","normal","low","treated","not-burned"
"7249","wet","low","treated","not-burned"
"7250","normal","low","untreated","not-burned"
"7251","wet","low","untreated","not-burned"
"7252","dry","low","treated","burned"
"7253","normal","low","treated","not-burned"
"7254","wet","low","untreated","not-burned"
"7255","normal","low","treated","not-burned"
"7256","normal","high","untreated","not-burned"
"7257","normal","low","untreated","not-burned"
"7258","wet","low","untreated","not-burned"
"7259","normal","low","untreated","not-burned"
"7260","dry","high","treated","not-burned"
"7261","dry","low","untreated","not-burned"
"7262","normal","low","treated","not-burned"
"7263","wet","low","untreated","not-burned"
"7264","dry","low","treated","burned"
"7265","wet","low","untreated","not-burned"
"7266","wet","low","treated","not-burned"
"7267","normal","low","untreated","not-burned"
"7268","normal","low","untreated","not-burned"
"7269","normal","low","untreated","not-burned"
"7270","wet","low","untreated","not-burned"
"7271","dry","low","untreated","not-burned"
"7272","dry","high","treated","not-burned"
"7273","normal","low","untreated","not-burned"
"7274","wet","low","untreated","not-burned"
"7275","wet","low","untreated","not-burned"
"7276","wet","high","treated","not-burned"
"7277","wet","low","untreated","not-burned"
"7278","normal","high","treated","not-burned"
"7279","normal","low","untreated","not-burned"
"7280","normal","low","untreated","not-burned"
"7281","normal","low","treated","not-burned"
"7282","wet","low","treated","not-burned"
"7283","normal","low","untreated","not-burned"
"7284","wet","low","treated","not-burned"
"7285","normal","high","treated","not-burned"
"7286","dry","low","untreated","burned"
"7287","wet","low","untreated","not-burned"
"7288","wet","high","treated","not-burned"
"7289","normal","low","treated","not-burned"
"7290","normal","low","untreated","not-burned"
"7291","normal","high","treated","not-burned"
"7292","wet","low","untreated","not-burned"
"7293","normal","low","treated","not-burned"
"7294","normal","low","untreated","not-burned"
"7295","wet","low","treated","not-burned"
"7296","dry","low","untreated","not-burned"
"7297","normal","low","untreated","not-burned"
"7298","dry","low","untreated","not-burned"
"7299","wet","low","untreated","not-burned"
"7300","normal","high","treated","not-burned"
"7301","normal","high","treated","not-burned"
"7302","normal","high","treated","not-burned"
"7303","wet","high","treated","not-burned"
"7304","wet","low","treated","not-burned"
"7305","normal","high","untreated","not-burned"
"7306","wet","low","untreated","not-burned"
"7307","normal","low","treated","not-burned"
"7308","dry","high","treated","burned"
"7309","wet","low","untreated","not-burned"
"7310","wet","low","treated","not-burned"
"7311","normal","low","untreated","not-burned"
"7312","normal","low","untreated","not-burned"
"7313","wet","low","untreated","not-burned"
"7314","dry","low","untreated","burned"
"7315","normal","low","untreated","not-burned"
"7316","wet","low","untreated","not-burned"
"7317","normal","high","treated","not-burned"
"7318","normal","low","untreated","not-burned"
"7319","wet","low","treated","not-burned"
"7320","normal","low","treated","not-burned"
"7321","dry","low","untreated","burned"
"7322","dry","low","treated","burned"
"7323","normal","high","treated","not-burned"
"7324","wet","low","untreated","not-burned"
"7325","normal","low","untreated","not-burned"
"7326","normal","low","treated","not-burned"
"7327","normal","high","treated","not-burned"
"7328","normal","low","treated","not-burned"
"7329","normal","low","untreated","not-burned"
"7330","dry","high","treated","burned"
"7331","normal","high","untreated","not-burned"
"7332","normal","high","treated","not-burned"
"7333","normal","low","untreated","not-burned"
"7334","wet","low","treated","not-burned"
"7335","normal","high","treated","not-burned"
"7336","normal","high","treated","not-burned"
"7337","normal","low","untreated","not-burned"
"7338","dry","low","treated","not-burned"
"7339","wet","low","untreated","not-burned"
"7340","normal","low","treated","not-burned"
"7341","dry","high","treated","not-burned"
"7342","wet","low","treated","not-burned"
"7343","dry","high","treated","not-burned"
"7344","wet","low","untreated","not-burned"
"7345","normal","low","treated","not-burned"
"7346","wet","low","untreated","not-burned"
"7347","normal","high","treated","not-burned"
"7348","dry","high","treated","not-burned"
"7349","normal","low","treated","not-burned"
"7350","normal","low","untreated","not-burned"
"7351","dry","high","treated","burned"
"7352","normal","low","untreated","not-burned"
"7353","wet","low","untreated","not-burned"
"7354","normal","low","untreated","not-burned"
"7355","wet","low","untreated","not-burned"
"7356","normal","low","untreated","not-burned"
"7357","wet","low","treated","not-burned"
"7358","dry","high","treated","not-burned"
"7359","dry","high","untreated","burned"
"7360","normal","low","untreated","not-burned"
"7361","wet","low","treated","not-burned"
"7362","normal","low","untreated","not-burned"
"7363","wet","low","untreated","not-burned"
"7364","dry","low","untreated","burned"
"7365","normal","low","untreated","not-burned"
"7366","normal","high","untreated","not-burned"
"7367","normal","low","treated","not-burned"
"7368","wet","low","untreated","not-burned"
"7369","wet","low","untreated","not-burned"
"7370","wet","low","untreated","not-burned"
"7371","wet","high","treated","not-burned"
"7372","dry","low","treated","not-burned"
"7373","wet","low","untreated","not-burned"
"7374","dry","high","untreated","not-burned"
"7375","wet","high","untreated","not-burned"
"7376","normal","low","treated","not-burned"
"7377","normal","high","treated","not-burned"
"7378","wet","low","treated","not-burned"
"7379","normal","high","treated","not-burned"
"7380","dry","low","untreated","not-burned"
"7381","dry","low","untreated","not-burned"
"7382","dry","high","treated","not-burned"
"7383","normal","high","treated","not-burned"
"7384","normal","low","treated","not-burned"
"7385","normal","low","untreated","not-burned"
"7386","normal","low","untreated","not-burned"
"7387","normal","low","untreated","not-burned"
"7388","normal","high","treated","not-burned"
"7389","wet","low","untreated","not-burned"
"7390","wet","high","treated","not-burned"
"7391","wet","low","untreated","not-burned"
"7392","dry","low","untreated","not-burned"
"7393","normal","low","treated","not-burned"
"7394","dry","high","untreated","not-burned"
"7395","wet","low","untreated","not-burned"
"7396","dry","low","untreated","not-burned"
"7397","wet","low","untreated","not-burned"
"7398","dry","high","untreated","burned"
"7399","normal","high","treated","not-burned"
"7400","wet","high","treated","not-burned"
"7401","wet","low","treated","not-burned"
"7402","wet","low","untreated","not-burned"
"7403","normal","high","treated","not-burned"
"7404","wet","low","untreated","not-burned"
"7405","normal","low","untreated","not-burned"
"7406","normal","high","treated","not-burned"
"7407","dry","high","treated","burned"
"7408","wet","low","treated","not-burned"
"7409","wet","low","treated","not-burned"
"7410","normal","high","untreated","not-burned"
"7411","wet","low","untreated","not-burned"
"7412","wet","low","untreated","not-burned"
"7413","normal","high","treated","not-burned"
"7414","normal","high","treated","not-burned"
"7415","dry","high","treated","not-burned"
"7416","normal","low","untreated","not-burned"
"7417","wet","low","untreated","not-burned"
"7418","dry","low","treated","burned"
"7419","dry","low","treated","not-burned"
"7420","normal","low","untreated","not-burned"
"7421","wet","high","treated","not-burned"
"7422","normal","low","untreated","not-burned"
"7423","wet","low","untreated","not-burned"
"7424","normal","low","treated","not-burned"
"7425","dry","high","treated","burned"
"7426","normal","low","treated","not-burned"
"7427","wet","low","treated","not-burned"
"7428","dry","high","treated","not-burned"
"7429","wet","low","untreated","not-burned"
"7430","wet","low","untreated","not-burned"
"7431","normal","low","untreated","not-burned"
"7432","wet","low","untreated","not-burned"
"7433","normal","low","untreated","not-burned"
"7434","dry","low","untreated","burned"
"7435","dry","low","untreated","not-burned"
"7436","dry","low","treated","not-burned"
"7437","normal","low","untreated","not-burned"
"7438","normal","low","untreated","not-burned"
"7439","normal","low","treated","not-burned"
"7440","dry","low","treated","not-burned"
"7441","wet","low","treated","not-burned"
"7442","wet","low","treated","not-burned"
"7443","normal","low","treated","not-burned"
"7444","wet","low","untreated","not-burned"
"7445","wet","low","untreated","not-burned"
"7446","normal","low","treated","not-burned"
"7447","wet","low","untreated","not-burned"
"7448","wet","low","untreated","not-burned"
"7449","wet","low","treated","not-burned"
"7450","normal","low","treated","not-burned"
"7451","wet","high","untreated","not-burned"
"7452","wet","low","treated","not-burned"
"7453","wet","low","untreated","not-burned"
"7454","normal","high","treated","not-burned"
"7455","dry","low","treated","burned"
"7456","wet","low","untreated","not-burned"
"7457","normal","low","untreated","not-burned"
"7458","dry","low","untreated","burned"
"7459","normal","high","untreated","not-burned"
"7460","normal","low","untreated","not-burned"
"7461","wet","low","treated","not-burned"
"7462","normal","low","untreated","not-burned"
"7463","normal","low","untreated","not-burned"
"7464","normal","low","untreated","not-burned"
"7465","normal","low","treated","not-burned"
"7466","dry","low","treated","not-burned"
"7467","normal","low","untreated","not-burned"
"7468","wet","low","untreated","not-burned"
"7469","normal","high","treated","not-burned"
"7470","normal","low","untreated","not-burned"
"7471","wet","low","untreated","not-burned"
"7472","dry","high","untreated","not-burned"
"7473","wet","low","treated","not-burned"
"7474","normal","high","treated","not-burned"
"7475","normal","low","treated","not-burned"
"7476","normal","low","treated","not-burned"
"7477","normal","high","treated","not-burned"
"7478","normal","low","treated","not-burned"
"7479","normal","low","untreated","not-burned"
"7480","wet","low","untreated","not-burned"
"7481","dry","high","treated","not-burned"
"7482","normal","high","treated","not-burned"
"7483","dry","high","treated","not-burned"
"7484","normal","low","untreated","not-burned"
"7485","normal","high","treated","not-burned"
"7486","dry","low","untreated","burned"
"7487","wet","low","untreated","not-burned"
"7488","normal","high","untreated","not-burned"
"7489","normal","low","treated","not-burned"
"7490","normal","high","treated","burned"
"7491","normal","low","untreated","not-burned"
"7492","normal","high","treated","not-burned"
"7493","wet","low","untreated","not-burned"
"7494","wet","low","treated","not-burned"
"7495","normal","low","untreated","not-burned"
"7496","dry","high","treated","burned"
"7497","dry","high","untreated","not-burned"
"7498","wet","low","untreated","not-burned"
"7499","normal","low","treated","not-burned"
"7500","wet","low","treated","not-burned"
"7501","dry","low","treated","not-burned"
"7502","normal","high","treated","burned"
"7503","wet","low","untreated","not-burned"
"7504","normal","low","treated","not-burned"
"7505","wet","high","treated","not-burned"
"7506","normal","low","treated","not-burned"
"7507","normal","low","treated","not-burned"
"7508","normal","high","treated","not-burned"
"7509","dry","high","treated","not-burned"
"7510","normal","low","untreated","not-burned"
"7511","wet","low","treated","not-burned"
"7512","normal","high","treated","not-burned"
"7513","dry","high","untreated","not-burned"
"7514","wet","low","treated","not-burned"
"7515","normal","high","treated","not-burned"
"7516","normal","low","treated","not-burned"
"7517","normal","low","untreated","not-burned"
"7518","dry","high","treated","not-burned"
"7519","normal","low","treated","not-burned"
"7520","dry","high","untreated","not-burned"
"7521","dry","high","treated","not-burned"
"7522","normal","high","treated","not-burned"
"7523","normal","low","treated","not-burned"
"7524","wet","high","untreated","not-burned"
"7525","wet","high","treated","not-burned"
"7526","normal","low","untreated","not-burned"
"7527","normal","low","treated","not-burned"
"7528","normal","low","untreated","not-burned"
"7529","normal","low","treated","not-burned"
"7530","normal","low","treated","not-burned"
"7531","normal","low","treated","not-burned"
"7532","normal","low","treated","not-burned"
"7533","normal","low","untreated","not-burned"
"7534","dry","high","treated","not-burned"
"7535","dry","low","treated","not-burned"
"7536","normal","low","untreated","not-burned"
"7537","dry","low","treated","not-burned"
"7538","wet","low","untreated","not-burned"
"7539","normal","high","treated","not-burned"
"7540","wet","low","treated","not-burned"
"7541","normal","low","treated","not-burned"
"7542","dry","high","treated","burned"
"7543","normal","low","untreated","not-burned"
"7544","wet","low","treated","not-burned"
"7545","normal","low","untreated","not-burned"
"7546","normal","high","treated","not-burned"
"7547","dry","low","treated","not-burned"
"7548","wet","low","untreated","not-burned"
"7549","normal","high","treated","not-burned"
"7550","normal","low","treated","not-burned"
"7551","normal","low","untreated","not-burned"
"7552","normal","low","treated","not-burned"
"7553","normal","low","untreated","not-burned"
"7554","dry","high","treated","not-burned"
"7555","wet","low","treated","not-burned"
"7556","wet","low","untreated","not-burned"
"7557","dry","high","treated","not-burned"
"7558","wet","low","treated","not-burned"
"7559","normal","high","treated","not-burned"
"7560","dry","high","treated","not-burned"
"7561","wet","low","untreated","not-burned"
"7562","dry","low","untreated","not-burned"
"7563","dry","high","treated","not-burned"
"7564","dry","low","untreated","burned"
"7565","normal","low","treated","not-burned"
"7566","dry","low","untreated","burned"
"7567","normal","high","treated","not-burned"
"7568","normal","high","treated","not-burned"
"7569","wet","low","untreated","not-burned"
"7570","normal","high","treated","not-burned"
"7571","wet","low","treated","not-burned"
"7572","wet","high","treated","not-burned"
"7573","normal","high","untreated","not-burned"
"7574","wet","low","untreated","not-burned"
"7575","wet","low","untreated","not-burned"
"7576","dry","low","untreated","not-burned"
"7577","wet","low","untreated","not-burned"
"7578","normal","high","treated","burned"
"7579","dry","high","treated","not-burned"
"7580","dry","low","untreated","burned"
"7581","wet","low","treated","not-burned"
"7582","dry","low","untreated","burned"
"7583","wet","low","treated","not-burned"
"7584","normal","low","treated","not-burned"
"7585","dry","low","untreated","not-burned"
"7586","wet","high","treated","not-burned"
"7587","normal","low","treated","not-burned"
"7588","normal","low","treated","not-burned"
"7589","wet","low","treated","not-burned"
"7590","wet","low","untreated","not-burned"
"7591","normal","low","treated","not-burned"
"7592","wet","low","untreated","not-burned"
"7593","normal","high","treated","burned"
"7594","wet","low","treated","not-burned"
"7595","wet","low","treated","not-burned"
"7596","wet","low","untreated","not-burned"
"7597","normal","low","untreated","not-burned"
"7598","wet","low","treated","not-burned"
"7599","normal","high","treated","not-burned"
"7600","dry","low","treated","burned"
"7601","normal","low","treated","not-burned"
"7602","dry","low","untreated","not-burned"
"7603","wet","low","untreated","not-burned"
"7604","wet","low","treated","not-burned"
"7605","wet","low","treated","not-burned"
"7606","wet","high","untreated","not-burned"
"7607","wet","low","treated","not-burned"
"7608","normal","high","treated","not-burned"
"7609","normal","low","untreated","not-burned"
"7610","normal","low","untreated","not-burned"
"7611","normal","low","untreated","not-burned"
"7612","normal","high","untreated","burned"
"7613","dry","high","treated","not-burned"
"7614","wet","low","untreated","not-burned"
"7615","dry","high","untreated","burned"
"7616","normal","high","treated","not-burned"
"7617","normal","high","treated","not-burned"
"7618","wet","low","untreated","not-burned"
"7619","normal","low","untreated","not-burned"
"7620","normal","low","untreated","not-burned"
"7621","normal","low","untreated","not-burned"
"7622","wet","low","treated","not-burned"
"7623","normal","high","untreated","not-burned"
"7624","normal","low","untreated","not-burned"
"7625","dry","low","treated","not-burned"
"7626","dry","low","treated","burned"
"7627","normal","high","treated","not-burned"
"7628","normal","low","untreated","not-burned"
"7629","normal","high","treated","burned"
"7630","wet","high","treated","burned"
"7631","dry","high","treated","burned"
"7632","dry","low","treated","burned"
"7633","wet","low","untreated","not-burned"
"7634","wet","low","treated","not-burned"
"7635","wet","low","untreated","not-burned"
"7636","wet","high","treated","not-burned"
"7637","normal","high","treated","not-burned"
"7638","wet","low","treated","not-burned"
"7639","normal","low","treated","not-burned"
"7640","dry","high","treated","not-burned"
"7641","normal","low","treated","not-burned"
"7642","dry","high","untreated","not-burned"
"7643","wet","low","untreated","not-burned"
"7644","wet","low","treated","not-burned"
"7645","normal","low","untreated","not-burned"
"7646","normal","high","treated","not-burned"
"7647","dry","low","treated","burned"
"7648","dry","low","untreated","not-burned"
"7649","normal","low","treated","not-burned"
"7650","normal","low","untreated","not-burned"
"7651","normal","high","treated","not-burned"
"7652","normal","high","treated","not-burned"
"7653","normal","low","treated","not-burned"
"7654","normal","low","untreated","not-burned"
"7655","normal","low","treated","not-burned"
"7656","normal","low","treated","not-burned"
"7657","wet","low","untreated","not-burned"
"7658","normal","low","treated","not-burned"
"7659","normal","low","treated","not-burned"
"7660","dry","high","treated","not-burned"
"7661","normal","low","treated","not-burned"
"7662","wet","low","treated","not-burned"
"7663","dry","high","treated","not-burned"
"7664","dry","low","untreated","burned"
"7665","normal","low","untreated","not-burned"
"7666","normal","high","treated","not-burned"
"7667","wet","low","treated","not-burned"
"7668","dry","high","treated","not-burned"
"7669","normal","low","untreated","not-burned"
"7670","normal","high","treated","not-burned"
"7671","dry","low","treated","not-burned"
"7672","normal","low","untreated","not-burned"
"7673","normal","high","treated","burned"
"7674","normal","low","treated","not-burned"
"7675","normal","low","treated","not-burned"
"7676","normal","low","untreated","not-burned"
"7677","normal","low","untreated","not-burned"
"7678","dry","low","untreated","not-burned"
"7679","wet","low","untreated","not-burned"
"7680","wet","low","untreated","not-burned"
"7681","wet","low","treated","not-burned"
"7682","normal","low","untreated","not-burned"
"7683","normal","high","treated","not-burned"
"7684","normal","high","treated","not-burned"
"7685","normal","high","treated","not-burned"
"7686","wet","low","untreated","not-burned"
"7687","wet","low","treated","not-burned"
"7688","wet","low","untreated","not-burned"
"7689","dry","low","untreated","burned"
"7690","wet","low","untreated","not-burned"
"7691","normal","low","treated","not-burned"
"7692","wet","low","untreated","not-burned"
"7693","normal","high","treated","not-burned"
"7694","dry","high","treated","burned"
"7695","wet","low","untreated","not-burned"
"7696","dry","low","untreated","burned"
"7697","wet","low","untreated","not-burned"
"7698","normal","low","untreated","not-burned"
"7699","normal","low","treated","not-burned"
"7700","wet","low","untreated","not-burned"
"7701","normal","high","untreated","not-burned"
"7702","normal","low","untreated","not-burned"
"7703","dry","low","treated","burned"
"7704","normal","low","untreated","not-burned"
"7705","wet","low","untreated","not-burned"
"7706","wet","low","treated","not-burned"
"7707","normal","low","untreated","not-burned"
"7708","normal","high","treated","not-burned"
"7709","wet","low","untreated","not-burned"
"7710","normal","high","treated","burned"
"7711","normal","low","treated","not-burned"
"7712","dry","high","treated","not-burned"
"7713","normal","low","treated","not-burned"
"7714","normal","low","untreated","not-burned"
"7715","wet","low","untreated","not-burned"
"7716","normal","high","treated","not-burned"
"7717","wet","low","treated","not-burned"
"7718","dry","low","treated","burned"
"7719","wet","low","untreated","not-burned"
"7720","wet","low","untreated","not-burned"
"7721","wet","low","treated","not-burned"
"7722","normal","low","untreated","not-burned"
"7723","normal","low","untreated","not-burned"
"7724","dry","low","treated","burned"
"7725","wet","low","treated","not-burned"
"7726","wet","low","treated","not-burned"
"7727","wet","low","untreated","not-burned"
"7728","normal","low","treated","not-burned"
"7729","wet","low","treated","not-burned"
"7730","wet","high","treated","not-burned"
"7731","normal","low","untreated","not-burned"
"7732","normal","high","treated","not-burned"
"7733","dry","low","treated","not-burned"
"7734","dry","high","treated","not-burned"
"7735","dry","low","treated","not-burned"
"7736","wet","low","untreated","not-burned"
"7737","dry","low","untreated","burned"
"7738","normal","low","untreated","not-burned"
"7739","wet","low","treated","not-burned"
"7740","wet","low","treated","not-burned"
"7741","dry","low","untreated","not-burned"
"7742","dry","high","treated","burned"
"7743","normal","low","untreated","not-burned"
"7744","wet","low","untreated","not-burned"
"7745","normal","low","treated","not-burned"
"7746","dry","low","untreated","burned"
"7747","wet","low","treated","not-burned"
"7748","dry","low","treated","not-burned"
"7749","normal","high","treated","not-burned"
"7750","wet","low","treated","not-burned"
"7751","normal","low","untreated","not-burned"
"7752","normal","low","untreated","not-burned"
"7753","normal","low","treated","not-burned"
"7754","wet","low","untreated","not-burned"
"7755","normal","low","treated","not-burned"
"7756","normal","low","untreated","not-burned"
"7757","dry","high","treated","not-burned"
"7758","normal","low","untreated","not-burned"
"7759","wet","low","treated","not-burned"
"7760","normal","low","untreated","not-burned"
"7761","normal","low","treated","not-burned"
"7762","dry","high","treated","not-burned"
"7763","normal","low","untreated","not-burned"
"7764","wet","low","untreated","not-burned"
"7765","dry","low","untreated","not-burned"
"7766","wet","low","treated","not-burned"
"7767","wet","low","untreated","not-burned"
"7768","normal","low","untreated","not-burned"
"7769","wet","low","treated","not-burned"
"7770","wet","low","untreated","not-burned"
"7771","dry","low","treated","not-burned"
"7772","wet","low","untreated","not-burned"
"7773","normal","high","treated","not-burned"
"7774","normal","low","treated","not-burned"
"7775","dry","low","untreated","not-burned"
"7776","wet","low","treated","not-burned"
"7777","normal","low","treated","not-burned"
"7778","normal","low","treated","not-burned"
"7779","normal","low","untreated","not-burned"
"7780","normal","high","treated","not-burned"
"7781","normal","low","treated","not-burned"
"7782","dry","low","treated","burned"
"7783","normal","low","treated","not-burned"
"7784","wet","low","treated","not-burned"
"7785","wet","low","treated","not-burned"
"7786","normal","high","treated","not-burned"
"7787","dry","high","treated","not-burned"
"7788","normal","high","untreated","not-burned"
"7789","normal","low","untreated","not-burned"
"7790","normal","low","untreated","not-burned"
"7791","normal","high","treated","not-burned"
"7792","normal","high","untreated","burned"
"7793","dry","high","treated","not-burned"
"7794","dry","high","treated","not-burned"
"7795","wet","low","treated","not-burned"
"7796","normal","low","untreated","not-burned"
"7797","normal","high","treated","not-burned"
"7798","normal","high","treated","burned"
"7799","dry","high","treated","burned"
"7800","dry","low","untreated","not-burned"
"7801","dry","low","treated","not-burned"
"7802","normal","low","untreated","not-burned"
"7803","wet","low","untreated","not-burned"
"7804","dry","high","treated","not-burned"
"7805","normal","low","untreated","not-burned"
"7806","normal","low","treated","not-burned"
"7807","normal","high","treated","not-burned"
"7808","normal","low","untreated","not-burned"
"7809","normal","low","untreated","not-burned"
"7810","wet","low","treated","not-burned"
"7811","wet","low","treated","not-burned"
"7812","wet","low","treated","not-burned"
"7813","dry","high","treated","not-burned"
"7814","normal","high","treated","not-burned"
"7815","normal","high","untreated","burned"
"7816","normal","high","treated","not-burned"
"7817","wet","high","treated","burned"
"7818","normal","low","treated","not-burned"
"7819","normal","high","treated","burned"
"7820","dry","high","treated","not-burned"
"7821","wet","low","treated","burned"
"7822","normal","low","untreated","not-burned"
"7823","normal","high","treated","not-burned"
"7824","normal","high","treated","not-burned"
"7825","dry","low","untreated","not-burned"
"7826","wet","low","untreated","not-burned"
"7827","dry","low","untreated","burned"
"7828","normal","high","treated","not-burned"
"7829","dry","low","treated","burned"
"7830","normal","low","untreated","not-burned"
"7831","dry","low","untreated","burned"
"7832","normal","low","untreated","not-burned"
"7833","dry","high","treated","not-burned"
"7834","dry","low","untreated","not-burned"
"7835","normal","high","treated","not-burned"
"7836","wet","low","untreated","not-burned"
"7837","dry","high","treated","not-burned"
"7838","wet","low","treated","not-burned"
"7839","normal","low","untreated","not-burned"
"7840","dry","high","treated","not-burned"
"7841","wet","low","untreated","not-burned"
"7842","normal","low","untreated","not-burned"
"7843","dry","high","treated","burned"
"7844","dry","low","treated","burned"
"7845","dry","low","untreated","burned"
"7846","wet","low","untreated","not-burned"
"7847","normal","low","untreated","not-burned"
"7848","dry","high","treated","not-burned"
"7849","normal","high","untreated","burned"
"7850","normal","low","treated","not-burned"
"7851","normal","low","treated","not-burned"
"7852","normal","low","untreated","not-burned"
"7853","normal","low","untreated","not-burned"
"7854","normal","high","untreated","not-burned"
"7855","dry","low","treated","burned"
"7856","dry","low","treated","burned"
"7857","normal","low","untreated","not-burned"
"7858","normal","high","untreated","not-burned"
"7859","normal","high","treated","not-burned"
"7860","dry","low","untreated","burned"
"7861","normal","low","treated","not-burned"
"7862","dry","low","untreated","not-burned"
"7863","wet","low","untreated","not-burned"
"7864","dry","low","treated","not-burned"
"7865","dry","low","untreated","not-burned"
"7866","normal","low","untreated","not-burned"
"7867","wet","low","treated","not-burned"
"7868","normal","low","untreated","not-burned"
"7869","normal","high","treated","not-burned"
"7870","dry","low","treated","not-burned"
"7871","normal","high","treated","not-burned"
"7872","normal","high","untreated","not-burned"
"7873","dry","high","treated","not-burned"
"7874","wet","low","treated","not-burned"
"7875","normal","high","treated","not-burned"
"7876","normal","high","untreated","not-burned"
"7877","wet","low","untreated","not-burned"
"7878","dry","high","untreated","not-burned"
"7879","normal","low","untreated","not-burned"
"7880","wet","low","untreated","not-burned"
"7881","normal","high","treated","not-burned"
"7882","dry","high","treated","not-burned"
"7883","normal","high","treated","not-burned"
"7884","normal","high","treated","not-burned"
"7885","wet","low","treated","not-burned"
"7886","wet","low","treated","not-burned"
